Category,Sub-Category,Item Name,Points,Found,Item ID,Shortened Item ID,Icon,Achievements ID,Achievements Display Name
Animals,Birds - Location,Flock (10+),2,FALSE,Animals_Birds - Location_Flock (10+),Animals_Birds - Location_Flock,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Location,Flying,1,FALSE,Animals_Birds - Location_Flying,Animals_Birds - Location_Flying,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Location,Grounded,1,FALSE,Animals_Birds - Location_Grounded,Animals_Birds - Location_Grounded,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Location,Perched,1,FALSE,Animals_Birds - Location_Perched,Animals_Birds - Location_Perched,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Species,Bird of prey,3,FALSE,Animals_Birds - Species_Bird of prey,Animals_Birds - Species_Prey,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Species,Blackbird,1,FALSE,Animals_Birds - Species_Blackbird,Animals_Birds - Species_Blackbird,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Species,Duck,3,FALSE,Animals_Birds - Species_Duck,Animals_Birds - Species_Duck,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Species,Magpie,2,FALSE,Animals_Birds - Species_Magpie,Animals_Birds - Species_Magpie,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Species,Pigeon,1,FALSE,Animals_Birds - Species_Pigeon,Animals_Birds - Species_Pigeon,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Birds - Species,Seagull,3,FALSE,Animals_Birds - Species_Seagull,Animals_Birds - Species_Seagull,raven,flying|animals,Air today gone tomorrow!|Animal crackers!
Animals,Wildlife,Butterfly,2,FALSE,Animals_Wildlife_Butterfly,Animals_Wildlife_Butterfly,pets,animals,Animal crackers!
Animals,Wildlife,Cat,2,FALSE,Animals_Wildlife_Cat,Animals_Wildlife_Cat,pets,animals,Animal crackers!
Animals,Wildlife,Dog,1,FALSE,Animals_Wildlife_Dog,Animals_Wildlife_Dog,pets,animals,Animal crackers!
Animals,Wildlife,Squirrel,1,FALSE,Animals_Wildlife_Squirrel,Animals_Wildlife_Squirrel,pets,animals,Animal crackers!
Buildings,Houses,CCTV Camera,2,FALSE,Buildings_Houses_CCTV Camera,Buildings_Houses_CCTV Camera,home,location|wavelength,Location location location!|Same wavelength!
Buildings,Houses,Door or Window Open,2,FALSE,Buildings_Houses_Door or Window Open,Buildings_Houses_Door Open,home,location,Location location location!
Buildings,Houses,Door: Black,1,FALSE,Buildings_Houses_Door: Black,Buildings_Houses_Door Black,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door: Blue,2,FALSE,Buildings_Houses_Door: Blue,Buildings_Houses_Door Blue,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door: Green,2,FALSE,Buildings_Houses_Door: Green,Buildings_Houses_Door Green,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door: Other,1,FALSE,Buildings_Houses_Door: Other,Buildings_Houses_Door Other,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door: Red,2,FALSE,Buildings_Houses_Door: Red,Buildings_Houses_Door Red,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door: White,1,FALSE,Buildings_Houses_Door: White,Buildings_Houses_Door White,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Hanging basket,2,FALSE,Buildings_Houses_Hanging basket,Buildings_Houses_Basket,home,location,Location location location!
